0.974916288,0.025641026,,X bar,Y bar,XY bar,X sqbar,X bar square,,,XY,Xsqr
0.879902402,0.051282051,,1.282051282,2.018148158,3.216622204,2.18058295,1.64365549,,,0.024997854,0.000657462
0.60259774,0.076923077,,,,,,,,,0.0451232,0.002629849
0.247087822,0.102564103,,,,,,,,,0.046353672,0.00591716
1.116373478,0.128205128,,,,,,,,,0.025342341,0.010519395
0.65306042,0.153846154,,a,1.17195118,,,,,,0.143124805,0.016436555
0.794016193,0.179487179,,b,0.515646645,,,,,,0.100470834,0.023668639
0.956404989,0.205128205,,,,,,,,,0.142515727,0.032215647
0.462771865,0.230769231,,,,,,,,,0.196185639,0.04207758
0.518899234,0.256410256,,,,,,,,,0.106793507,0.053254438
0.503150316,0.282051282,,,,,,,,,0.133051085,0.065746219
0.838014451,0.307692308,,,,,,,,,0.141914192,0.079552926
0.445456533,0.333333333,,,,,,,,,0.257850601,0.094674556
1.385128747,0.358974359,,,,,,,,,0.148485511,0.111111111
1.405708375,0.384615385,,,,,,,,,0.497225704,0.12886259
0.537383934,0.41025641,,,,,,,,,0.540657068,0.147928994
1.06174709,0.435897436,,,,,,,,,0.220465204,0.168310322
1.556686798,0.461538462,,,,,,,,,0.462812834,0.190006575
1.041356574,0.487179487,,,,,,,,,0.718470831,0.213017752
1.445609106,0.512820513,,,,,,,,,0.507327562,0.237343853
1.306812568,0.538461538,,,,,,,,,0.741338003,0.262984879
0.950004808,0.564102564,,,,,,,,,0.703668305,0.289940828
1.074552588,0.58974359,,,,,,,,,0.535900148,0.318211703
0.974340165,0.615384615,,,,,,,,,0.633710501,0.347797502
1.193703581,0.641025641,,,,,,,,,0.599593947,0.378698224
0.979412159,0.666666667,,,,,,,,,0.765194603,0.410913872
1.003708541,0.692307692,,,,,,,,,0.65294144,0.444444445
1.316048942,0.717948718,,,,,,,,,0.694875143,0.47928994
1.572481496,0.743589744,,,,,,,,,0.944855651,0.515450362
1.171747281,0.769230769,,,,,,,,,1.169281113,0.552925707
1.467149033,0.794871795,,,,,,,,,0.901344062,0.591715976
1.643774948,0.820512821,,,,,,,,,1.166195385,0.63182117
1.138453018,0.846153846,,,,,,,,,1.34873842,0.673241289
2.059911594,0.871794872,,,,,,,,,0.9633064,0.715976331
1.650276314,0.897435897,,,,,,,,,1.795820364,0.760026299
1.526206823,0.923076923,,,,,,,,,1.481017204,0.805391189
1.554324288,0.948717949,,,,,,,,,1.408806298,0.852071006
2.007846925,0.974358974,,,,,,,,,1.474615351,0.900065747
2.095498051,1,,,,,,,,,1.95636367,0.94937541
1.447287782,1.025641026,,,,,,,,,2.095498051,1
1.319848682,1.051282051,,,,,,,,,1.484397726,1.051939514
1.924153844,1.076923077,,,,,,,,,1.387533229,1.105193951
1.403460317,1.102564103,,,,,,,,,2.072165678,1.159763314
1.756236792,1.128205128,,,,,,,,,1.547404966,1.215647601
1.421349392,1.153846154,,,,,,,,,1.981395355,1.272846811
1.925447347,1.179487179,,,,,,,,,1.640018529,1.331360947
2.1162841,1.205128205,,,,,,,,,2.27104046,1.391190005
2.458975919,1.230769231,,,,,,,,,2.550393659,1.45233399
2.010003061,1.256410256,,,,,,,,,3.026431901,1.5147929
2.394637233,1.282051282,,,,,,,,,2.52538846,1.578566731
1.928497402,1.307692308,,,,,,,,,3.070047734,1.64365549
2.023670143,1.333333333,,,,,,,,,2.521881219,1.710059172
2.629285412,1.358974359,,,,,,,,,2.698226857,1.777777777
1.737580681,1.384615385,,,,,,,,,3.573131457,1.846811308
1.745557713,1.41025641,,,,,,,,,2.405880944,1.917159764
2.28391396,1.435897436,,,,,,,,,2.461683954,1.988823142
2.366593661,1.461538462,,,,,,,,,3.279466199,2.061801447
2.126712234,1.487179487,,,,,,,,,3.458867659,2.136094676
1.986886427,1.512820513,,,,,,,,,3.162802809,2.211702827
2.67983285,1.538461538,,,,,,,,,3.005802544,2.288625905
2.296451168,1.564102564,,,,,,,,,4.122819768,2.366863904
2.382651521,1.58974359,,,,,,,,,3.59188516,2.446416831
2.398739077,1.615384615,,,,,,,,,3.787804983,2.527284682
2.34388981,1.641025641,,,,,,,,,3.8748862,2.609467454
2.588590496,1.666666667,,,,,,,,,3.846383278,2.692965154
2.788009871,1.692307692,,,,,,,,,4.314317494,2.777777779
2.187502,1.717948718,,,,,,,,,4.71817055,2.863905324
2.204138148,1.743589744,,,,,,,,,3.758016257,2.951347798
2.819070715,1.769230769,,,,,,,,,3.843112669,3.040105195
2.441325015,1.794871795,,,,,,,,,4.987586649,3.130177514
3.118740339,1.820512821,,,,,,,,,4.381865412,3.22156476
2.716771405,1.846153846,,,,,,,,,5.677706773,3.314266931
2.491170003,1.871794872,,,,,,,,,5.015577978,3.408284023
2.803493807,1.897435897,,,,,,,,,4.662959237,3.503616043
3.001849587,1.923076923,,,,,,,,,5.319449786,3.600262983
2.784059622,1.948717949,,,,,,,,,5.772787667,3.698224852
2.521053086,1.974358974,,,,,,,,,5.425346956,3.797501645
3.293449987,2,,,,,,,,,4.977463784,3.898093358
3.103861703,2.025641026,,,,,,,,,6.586899974,4
2.503159782,2.051282051,,,,,,,,,6.287309605,4.103221566
2.504714856,2.076923077,,,,,,,,,5.134686732,4.207758053
2.916640854,2.102564103,,,,,,,,,5.202100086,4.313609468
3.433762135,2.128205128,,,,,,,,,6.132424361,4.420775807
2.733273446,2.153846154,,,,,,,,,7.307750184,4.529257067
3.010585404,2.179487179,,,,,,,,,5.887050499,4.639053255
3.362569086,2.205128205,,,,,,,,,6.561532289,4.750164363
3.186021998,2.230769231,,,,,,,,,7.414895933,4.8625904
3.277036892,2.256410256,,,,,,,,,7.107279842,4.976331362
2.785323942,2.282051282,,,,,,,,,7.394339652,5.091387243
3.565894677,2.307692308,,,,,,,,,6.356252073,5.207758054
3.356593123,2.333333333,,,,,,,,,8.228987717,5.325443788
3.41536259,2.358974359,,,,,,,,,7.832050619,5.444444443
2.847888803,2.384615385,,,,,,,,,8.056752776,5.564760026
3.597661942,2.41025641,,,,,,,,,6.791119454,5.686390534
3.539041698,2.435897436,,,,,,,,,8.671287757,5.809335962
3.830906665,2.461538462,,,,,,,,,8.620742598,5.933596319
3.208168504,2.487179487,,,,,,,,,9.4299241,6.0591716
3.236955625,2.512820513,,,,,,,,,7.979290894,6.186061801
3.401547862,2.538461538,,,,,,,,,8.133888494,6.314266931
,,,,,,,,,,8.634698417,6.44378698
